seaotter,releasenum,days_since_rel,fix_type,fix_qual,latitude,longitude,,
353,1,21.08333333,r,2,36.958926,-122.018298,,
353,1,25.09375,r,1,36.959671,-122.019591,,
379,1,0,b,0.5,36.821152,-121.745543,,
379,1,0.222222222,b,0.5,36.81437274,-121.7682057,,
379,1,0.899305556,b,0.5,36.81330883,-121.7602893,,
379,1,1.115277778,b,0.5,36.81379608,-121.7751793,,
379,1,1.947916667,b,0.5,36.8134623,-121.7727092,,
379,1,2.197916667,b,0.5,36.81295729,-121.7797779,,
379,1,2.957638889,b,0.5,36.8119283,-121.7822932,,
379,1,3.34375,a,1,36.906051,-121.851904,,
379,1,3.893055556,a,1,36.805526,-121.862837,,
379,1,3.925694444,a,1,36.772025,-121.888811,,
379,1,4.067361111,b,0.5,36.73584231,-121.9889907,,
379,2,0,b,0.5,36.81365415,-121.7543555,,
379,2,0.204861111,b,0.5,36.81312696,-121.7787199,,
379,2,0.979166667,b,0.5,36.813539,-121.775058,,
379,2,1.167361111,b,0.5,36.81352,-121.774607,,
379,2,1.211805556,b,0.5,36.81309047,-121.7771282,,
379,2,2.03125,b,0.5,36.81684952,-121.7688251,,
379,2,2.922916667,b,0.5,36.81497644,-121.7706156,,
379,2,3.932638889,b,0.5,36.81580111,-121.765719,,
379,2,4.910416667,b,0.5,36.81365196,-121.7756085,,
379,2,6.171527778,b,0.5,36.81501965,-121.7665975,,
379,2,7.03125,r,1,36.81501965,-121.7665975,,
379,2,9.078472222,b,0.5,36.81064147,-121.7769376,,
379,2,10.01180556,b,0.5,36.81208112,-121.7741593,,
379,2,12.15555556,b,0.5,36.81195174,-121.7614081,,
379,2,16.15833333,b,0.5,36.81370254,-121.765092,,
386,1,0,b,0.5,36.81403715,-121.7543555,,
386,1,0.202777778,b,0.5,36.81517259,-121.7675192,,
386,1,0.954166667,b,0.5,36.814146,-121.779097,,
386,1,0.990972222,b,0.5,36.81773301,-121.7695045,,
386,1,1.142361111,b,0.5,36.81865378,-121.7693407,,
386,1,1.977777778,b,0.5,36.81470493,-121.7808635,,
386,1,2.0125,b,0.5,36.81751175,-121.7661695,,
386,1,3.049305556,b,0.5,36.82594995,-121.7460362,,
386,1,3.975694444,r,2,36.813102,-121.762135,,
386,1,5.090277778,b,0.5,36.81731736,-121.7503612,,
386,1,5.968055556,b,0.5,36.8141306,-121.764027,,
386,1,7.111111111,r,1,36.812621,-121.761422,,
386,1,8.069444444,r,1,36.81234,-121.763383,,
386,1,9.027777778,b,0.5,36.81538855,-121.7659741,,
386,1,10.19236111,b,0.5,36.81597548,-121.7666139,,
386,1,13.03333333,b,0.5,36.8150148,-121.765914,,
386,1,18.06736111,r,2,36.813799,-121.77224,,
386,1,19.10694444,b,0.5,36.81142417,-121.7771452,,
433,1,0,b,0.5,36.8145952,-121.7525058,,
433,1,0.973611111,r,1,36.813007,-121.788187,,
433,1,1.152777778,r,1,36.81403778,-121.788253,,
433,1,1.8875,r,1,36.81262017,-121.7888857,,
433,1,2.064583333,b,1,36.81410212,-121.7876723,,
433,1,3.010416667,r,1,36.81329758,-121.7876437,,
433,1,3.967361111,r,2,36.81385683,-121.7874086,,
433,1,6.984027778,b,0.5,36.81437407,-121.7887403,,
433,1,7.15625,b,0.5,36.81708405,-121.7872027,,
433,1,8,r,2,36.81314445,-121.7888342,,
433,1,9.176388889,b,0.5,36.81158418,-121.7871627,F,
433,1,13.95347222,b,0.5,36.81525288,-121.7879911,,
433,1,16.01041667,r,0.5,36.8133521,-121.788222,,
433,1,21.07361111,r,1,36.81414838,-121.7888138,,
451,1,0,b,0.5,36.81446444,-121.7515387,,
451,1,1.105590278,b,0.5,36.81333862,-121.744878,,
451,1,2.108831019,b,0.5,36.81406694,-121.7577196,,
451,2,0,b,0.5,36.820918,-121.745644,,
451,2,0.997280093,b,0.5,36.81559974,-121.7669966,,
451,2,2.002708333,b,0.5,36.81586385,-121.7647633,,
451,2,3.05974537,r,2,36.817317,-121.765821,,
451,2,4.006388889,b,0.5,36.81660589,-121.7673433,,
451,2,6.025625,b,0.5,36.816021,-121.768145,,
451,2,6.117048611,b,0.5,36.81676532,-121.7664429,,
451,2,7.130694444,r,2,36.81357777,-121.7666097,,
451,2,8.012476852,b,0.5,36.81611309,-121.7675883,,
451,2,10.05939815,r,2,36.81402605,-121.7665946,,
451,2,25.88787037,v,0.5,36.81047045,-121.7883619,,
457,1,0,b,0.5,36.81527492,-121.7452422,,
457,1,0.145833333,b,0.5,36.81181907,-121.745876,,
457,1,0.979166667,b,0.5,36.81199895,-121.7871143,,
457,2,0,b,0.5,36.81717015,-121.7472895,,
457,2,0.986805556,b,0.5,36.8165472,-121.7882679,,
457,2,2.354166667,a,1,36.842905,-121.753441,,
457,2,3.179166667,b,0.5,36.859865,-121.759191,,
457,3,0,b,0.5,36.81673715,-121.7472395,,
457,3,0.913194444,b,0.5,36.799673,-121.78831,,
457,3,1.929166667,b,0.5,36.80659736,-121.7845357,,
457,3,2.916666667,r,2,36.80204486,-121.7856625,,
457,3,3.954861111,b,0.5,36.80290895,-121.7850206,,
457,3,4.963888889,b,0.5,36.80258573,-121.7850895,,
457,3,6.944444444,b,0.5,36.80241483,-121.7856404,,
457,3,8.952777778,b,0.5,36.80507725,-121.7850149,,
457,3,14.04722222,r,1,36.80582095,-121.7857216,,
466,1,0,b,0.5,36.81730415,-121.7467055,,
466,1,1.207638889,b,0.5,36.81514175,-121.7495802,,
466,1,1.991666667,b,0.5,36.8183695,-121.766225,,
466,1,3.009722222,b,0.5,36.81616217,-121.7666907,,
466,1,4.05625,b,0.5,36.81658744,-121.7675082,,
466,1,5.184027778,b,0.5,36.81666776,-121.7678729,,
466,1,6.134722222,b,0.5,36.815802,-121.764302,,
466,1,7.05625,r,2,36.813205,-121.757263,,
466,1,10.97638889,b,0.5,36.81561272,-121.7665009,,
466,1,13.02083333,b,0.5,36.81348798,-121.7528329,,
466,1,18.0375,r,1,36.81209,-121.751742,,
466,1,19.11944444,b,0.5,36.81466794,-121.7456039,,
473,1,0,b,0.5,36.81720505,-121.7463589,,
473,1,0.921527778,b,0.5,36.81330773,-121.7607624,,
473,1,1.914583333,b,0.5,36.81299203,-121.7787455,,
473,1,3.008333333,r,2,36.813035,-121.77529,,
473,1,4.039583333,b,0.5,36.80946804,-121.7849943,,
473,1,4.069444444,b,0.5,36.80947702,-121.7850492,,
473,1,4.966666667,b,1,36.805006,-121.784467,,
473,1,6.997916667,b,0.5,36.80708009,-121.7857394,,
473,1,8.114583333,b,0.5,36.80742424,-121.7859562,,
473,1,9.04375,b,0.5,36.80732203,-121.7858841,,
473,1,13.99444444,b,0.5,36.80768601,-121.786275,,
475,1,0,b,0.5,36.81673353,-121.7485599,,
475,1,0.941666667,b,0.5,36.81138584,-121.7734763,,
475,1,1.135416667,b,0.5,36.81008115,-121.78556,,
475,2,0,b,0.5,36.81628144,-121.7470547,,
475,2,1,b,0.5,36.8099981,-121.7862381,,
475,2,2.038194444,b,0.5,36.80949129,-121.7856611,,
475,2,3.229166667,b,0.5,36.8011822,-121.7909219,,
475,2,3.918055556,b,0.5,36.81030254,-121.785654,,
475,2,3.994444444,b,0.5,36.80639846,-121.7918908,,
475,2,5.102083333,b,0.5,36.81062077,-121.7856553,,
475,2,6.125,b,0.5,36.80682695,-121.7916716,,
475,2,6.148611111,b,0.5,36.81000076,-121.7856633,,
475,2,6.261805556,b,0.5,36.80952485,-121.7861434,,
475,2,7.048611111,b,0.5,36.81013583,-121.7863789,,
475,2,8.24375,b,0.5,36.80989908,-121.7856684,,
475,2,11.02847222,b,0.5,36.80982152,-121.7858566,,
475,2,13.02638889,v,0.5,36.81020166,-121.785237,,
475,2,17.97083333,b,0.5,36.81032113,-121.7862247,,
475,2,18.27291667,b,0.5,36.81001417,-121.7854742,,
501,1,0,b,0.5,36.82039015,-121.7452325,,
501,1,0.970925926,b,0.5,36.81510667,-121.7682058,,
501,1,1.97130787,b,0.5,36.81575956,-121.7668625,,
501,1,3.133645833,b,0.5,36.81948076,-121.7670395,,
501,2,0,b,0.5,36.81885362,-121.7459377,,
501,2,0.978599537,b,0.5,36.81542615,-121.7653735,,
501,2,2.959837963,b,0.5,36.81594228,-121.7669332,,
501,2,4.106875,b,0.5,36.81475169,-121.7549179,,
501,2,5.176018519,b,0.5,36.81452367,-121.7545623,,
501,2,8.137847222,b,0.5,36.81319382,-121.7516607,,
501,2,9.212928241,b,0.5,36.814775,-121.768224,,
501,2,12.03689815,b,0.5,36.81354118,-121.7609231,,
501,2,14.04741898,v,0.5,36.81511495,-121.7527216,,
501,2,20.09709491,b,0.5,36.81392443,-121.7595426,,
518,1,0,b,0.5,36.82064991,-121.7454187,,
518,1,1.005555556,v,0.5,36.81645463,-121.7498297,,
518,1,1.997916667,v,0.5,36.8120065,-121.7457849,,
518,1,3.028472222,b,1,36.811996,-121.748437,,
518,1,4.165277778,v,0.5,36.81459311,-121.7543077,,
518,1,5.002083333,b,0.5,36.8140311,-121.7611057,,
518,2,0,b,0.5,36.82007831,-121.7454088,,
518,2,0.139583333,b,0.5,36.81354705,-121.7530999,,
518,2,0.982638889,b,0.5,36.8166887,-121.7464107,,
518,2,2.009722222,v,0.5,36.81471695,-121.7494649,,
518,2,2.977777778,b,0.5,36.81681868,-121.7454367,,
518,2,3.979166667,b,0.5,36.81729902,-121.7457496,,
518,2,4.979166667,b,0.5,36.81778549,-121.7468992,,
518,2,5.986111111,b,0.5,36.81554158,-121.7493118,,
518,2,7.068055556,b,0.5,36.81562502,-121.745915,,
518,2,8.202083333,v,0.5,36.81462331,-121.7511596,,
518,2,9.067361111,b,0.5,36.81351847,-121.7490728,,
518,2,10.025,v,0.5,36.81485018,-121.7486184,,
518,2,11.04652778,v,0.5,36.813401,-121.74507,,
518,2,15.07013889,b,0.5,36.81310183,-121.7448296,,
518,2,17.00694444,b,0.5,36.8181753,-121.7462922,,
520,1,0,b,0.5,36.81906838,-121.745224,,
520,1,0.204166667,b,0.5,36.77394916,-121.8155026,,
520,1,0.395833333,a,1,36.764709,-121.804961,,
520,1,0.965277778,b,0.5,36.78382159,-121.8052743,,
520,1,1.218055556,b,0.5,36.87508164,-121.8294338,,
520,1,1.395138889,a,1,36.907595,-121.8492417,,
520,1,2.009027778,b,0.5,36.95791929,-121.9020298,,
520,1,2.093055556,b,0.5,36.925617,-121.972333,,
520,1,2.384722222,b,0.5,36.85479284,-121.8178201,,
520,1,2.978472222,b,0.5,36.81650618,-121.7999586,,
520,1,4.079861111,b,0.5,36.86158735,-121.8377666,,
520,1,5.154861111,b,0.5,36.8814976,-121.8570871,,
520,1,7.09375,b,0.5,36.86882021,-121.8396976,,
520,1,9.086111111,b,0.5,36.81261959,-121.7959647,,
520,1,12.13402778,b,0.5,36.81868684,-121.8011523,,
520,1,13.99027778,b,0.5,36.82575929,-121.8082127,,
526,1,0,b,0.5,36.81950323,-121.7455437,,
526,1,0.941666667,b,0.5,36.81369036,-121.8028987,,
526,1,1.98125,b,0.5,36.82739391,-121.8164786,,
