"","seaotter","Date","FoodType","Amount_offered_kg","Amount_offered_kg_num","DateTime_real","year","month","Date_real"
"153",653,2014-09-03 13:35:03,"Supplemental",0.558,0.558,2014-09-03 13:35:03,2014,9,2014-09-03
"154",653,2014-09-03 16:20:00,"Live",0.62,0.62,2014-09-03 16:20:00,2014,9,2014-09-03
"155",653,2014-09-03 16:20:00,"Live",0.62,0.62,2014-09-03 16:20:00,2014,9,2014-09-03
"156",653,2014-09-03 16:20:02,"Live",0.62,0.62,2014-09-03 16:20:02,2014,9,2014-09-03
"157",653,2014-09-03 16:20:02,"Live",0.62,0.62,2014-09-03 16:20:02,2014,9,2014-09-03
"158",653,2014-09-03 17:30:00,"Supplemental",0.496,0.496,2014-09-03 17:30:00,2014,9,2014-09-03
"159",653,2014-09-03 17:30:00,"Supplemental",0.341,0.341,2014-09-03 17:30:00,2014,9,2014-09-03
"160",653,2014-09-03 17:30:57,"Supplemental",0.341,0.341,2014-09-03 17:30:57,2014,9,2014-09-03
"161",653,2014-09-03 17:30:57,"Supplemental",0.496,0.496,2014-09-03 17:30:57,2014,9,2014-09-03
"162",653,2014-09-03 21:30:00,"Supplemental",0.31,0.31,2014-09-03 21:30:00,2014,9,2014-09-03
"163",653,2014-09-03 21:30:00,"Supplemental",0.465,0.465,2014-09-03 21:30:00,2014,9,2014-09-03
"164",653,2014-09-03 21:30:00,"Live",0.62,0.62,2014-09-03 21:30:00,2014,9,2014-09-03
"165",653,2014-09-03 21:30:00,"Live",1.551,1.551,2014-09-03 21:30:00,2014,9,2014-09-03
"166",653,2014-09-03 21:30:57,"Supplemental",0.465,0.465,2014-09-03 21:30:57,2014,9,2014-09-03
"167",653,2014-09-03 21:30:57,"Supplemental",0.31,0.31,2014-09-03 21:30:57,2014,9,2014-09-03
"168",653,2014-09-03 21:30:57,"Live",1.551,1.551,2014-09-03 21:30:57,2014,9,2014-09-03
"169",653,2014-09-03 21:30:57,"Live",0.62,0.62,2014-09-03 21:30:57,2014,9,2014-09-03
"170",653,2014-09-04 09:30:00,"Supplemental",0.469,0.469,2014-09-04 09:30:00,2014,9,2014-09-04
"171",653,2014-09-04 09:30:00,"Supplemental",0.657,0.657,2014-09-04 09:30:00,2014,9,2014-09-04
"172",653,2014-09-04 09:30:39,"Supplemental",0.657,0.657,2014-09-04 09:30:39,2014,9,2014-09-04
"173",653,2014-09-04 09:30:39,"Supplemental",0.469,0.469,2014-09-04 09:30:39,2014,9,2014-09-04
"174",653,2014-09-04 14:10:00,"Supplemental",0.563,0.563,2014-09-04 14:10:00,2014,9,2014-09-04
"175",653,2014-09-04 14:10:00,"Live",0.563,0.563,2014-09-04 14:10:00,2014,9,2014-09-04
"176",653,2014-09-04 14:10:50,"Live",0.563,0.563,2014-09-04 14:10:50,2014,9,2014-09-04
"177",653,2014-09-04 14:10:50,"Supplemental",0.563,0.563,2014-09-04 14:10:50,2014,9,2014-09-04
