YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 10 06 308  8.4 10.2  3.39 16.67  8.40 284 1022.0  11.8  11.7   9.8 99.0 99.00
2002 01 10 07 310  8.6 11.0  3.71 16.67  9.11 288 1023.3  11.9  11.7   9.3 99.0 99.00
2002 01 10 08 322  9.7 11.8  3.49 16.67  8.39 280 1022.8  11.9  11.7   9.4 99.0 99.00
2002 01 10 09 325  7.5  8.9  3.50 14.29  8.20 286 1022.5  11.4  11.7   9.7 99.0 99.00
2002 01 10 10 346  6.8  8.0  3.31 14.29  8.17 288 1022.3  11.6  11.6  10.2 99.0 99.00
2002 01 10 11  42  6.1  7.7  3.23 14.29  9.00 286 1022.4  11.3  11.6  10.5 99.0 99.00
2002 01 10 12  54  4.7  6.4  3.32 14.29  8.99 281 1022.4  10.8  11.6  10.6 99.0 99.00
2002 01 10 13  38  4.9  6.6  3.26 14.29  8.39 279 1022.1  11.7  11.5  10.3 99.0 99.00
2002 01 10 14  40  4.9  6.5  2.82 14.29  7.76 291 1022.5  11.9  11.5   9.7 99.0 99.00
2002 01 10 15  37  4.3  5.4  3.19 14.29  8.61 284 1023.4  11.6  11.7   9.6 99.0 99.00
2002 01 10 16 308  3.5  5.0  2.93 14.29  8.67 289 1024.1  11.7  11.7  10.6 99.0 99.00
2002 01 10 17 316  5.6  7.2  2.76 14.29  8.87 292 1024.6  12.2  11.8  10.7 99.0 99.00
2002 01 10 18 312  4.8  6.0  3.01 12.50  8.84 284 1025.4  12.2  11.8  10.3 99.0 99.00
2002 01 10 19 360  4.7  5.6  2.74 14.29  8.93 276 1025.3  12.2  11.8  10.0 99.0 99.00
