YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 06 07  76  7.4  8.6  0.96  7.69  6.97 304 1019.8  11.3  12.7 999.0 99.0 99.00
2004 01 06 08  79  8.0  9.4  1.04  9.09  5.02 300 1019.7  11.8  12.8 999.0 99.0 99.00
2004 01 06 09  78  8.4  9.8  1.15  7.69  4.85 309 1019.4  11.7  12.8 999.0 99.0 99.00
2004 01 06 10  75  7.9  8.8  1.11  9.09  4.89 307 1019.4  11.3  12.8 999.0 99.0 99.00
2004 01 06 11  75  6.3  7.1  1.07 12.50  4.89 284 1019.0  11.0  12.8 999.0 99.0 99.00
2004 01 06 12  69  7.6  8.7  1.05  8.33  5.15 311 1017.9  11.1  12.6 999.0 99.0 99.00
2004 01 06 13  92  5.4  6.2  1.00  9.09  5.07 299 1018.0  11.1  12.6 999.0 99.0 99.00
2004 01 06 14  91  6.7  7.6  0.94 11.11  5.07 289 1016.7  11.1  12.7 999.0 99.0 99.00
2004 01 06 15 126  4.3  5.2  0.91  9.09  4.81 306 1017.4  11.0  12.8 999.0 99.0 99.00
2004 01 06 16  99  4.7  5.5  0.89 14.29  5.02 265 1017.2  11.3  12.8 999.0 99.0 99.00
2004 01 06 17 105  4.3  5.1  0.80 14.29  5.44 277 1017.8  11.3  12.8 999.0 99.0 99.00
2004 01 06 18 114  4.2  4.9  0.72 14.29  5.70 269 1018.0  11.8  12.8 999.0 99.0 99.00
2004 01 06 19 131  4.5  5.2  0.71 14.29  6.21 277 1017.3  12.5  12.8 999.0 99.0 99.00
2004 01 06 20 127  5.7  6.7  0.68 14.29  6.43 259 1015.9  12.5  12.8 999.0 99.0 99.00
2004 01 06 21 112  6.8  7.9  0.64 14.29  6.07 264 1014.7  12.1  12.8 999.0 99.0 99.00
2004 01 06 22 137  6.4  7.4  0.74 14.29  5.05 268 1014.9  12.2  12.8 999.0 99.0 99.00
2004 01 06 23 144  5.6  6.5  0.69 14.29  4.45 240 1015.0  12.6  12.6 999.0 99.0 99.00
2004 01 07 00 133  6.1  7.3  0.69 12.50  4.73 230 1015.0  12.6  12.6 999.0 99.0 99.00
2004 01 07 01 157  5.2  6.9  0.71 11.11  4.70 233 1015.4  12.8  12.6 999.0 99.0 99.00
