#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 06 14 00  60  2.1 99.0 99.00 99.00 99.00 999 1033.2   7.6  11.7 999.0 99.0 99.00
2007 01 06 15 00   0  0.0 99.0 99.00 99.00 99.00 999 1033.3   7.1  11.7 999.0 99.0 99.00
2007 01 06 16 00  90  1.5 99.0 99.00 99.00 99.00 999 1033.6   7.1  11.6 999.0 99.0 99.00
2007 01 06 17 00  50  2.1 99.0 99.00 99.00 99.00 999 1033.8   7.4  11.6 999.0 99.0 99.00
2007 01 09 00 00 330  3.6 99.0 99.00 99.00 99.00 999 1023.6  11.1  11.6 999.0 99.0 99.00
2007 01 09 01 00 340  2.6 99.0 99.00 99.00 99.00 999 1023.5  11.2  11.6 999.0 99.0 99.00
2007 01 09 02 00  40  3.1 99.0 99.00 99.00 99.00 999 1023.3  12.2  11.6 999.0 99.0 99.00
2007 01 09 03 00  40  5.7 99.0 99.00 99.00 99.00 999 1023.0  12.8  11.6 999.0 99.0 99.00
2007 01 09 04 00  40  5.1 99.0 99.00 99.00 99.00 999 1022.8  12.1  11.5 999.0 99.0 99.00
2007 01 09 05 00  40  4.1 99.0 99.00 99.00 99.00 999 1022.7  12.2  11.5 999.0 99.0 99.00
2007 01 09 06 00  30  4.1 99.0 99.00 99.00 99.00 999 1022.6  11.6  11.5 999.0 99.0 99.00
2007 01 09 07 00  30  5.7 99.0 99.00 99.00 99.00 999 1022.3  11.6  11.4 999.0 99.0 99.00
2007 01 09 08 00  40  5.1 99.0 99.00 99.00 99.00 999 1021.8  11.4  11.4 999.0 99.0 99.00
2007 01 09 09 00  50  5.7 99.0 99.00 99.00 99.00 999 1021.3  10.9  11.4 999.0 99.0 99.00
2007 01 09 10 00  50  6.2 99.0 99.00 99.00 99.00 999 1021.0  12.1  11.3 999.0 99.0 99.00
2007 01 09 11 00  40  5.1 99.0 99.00 99.00 99.00 999 1021.0  11.1  11.3 999.0 99.0 99.00
2007 01 09 12 00  60  6.2 99.0 99.00 99.00 99.00 999 1020.3  11.1  11.3 999.0 99.0 99.00
2007 01 09 13 00  70  6.7 99.0 99.00 99.00 99.00 999 1019.9  10.8  11.3 999.0 99.0 99.00
2007 01 09 15 00  50  6.2 99.0 99.00 99.00 99.00 999 1019.7  11.2  11.3 999.0 99.0 99.00
2007 01 09 16 00  60  6.2 99.0 99.00 99.00 99.00 999 1019.6  10.9  11.3 999.0 99.0 99.00
2007 01 09 18 00  50  7.7 99.0 99.00 99.00 99.00 999 1020.2  11.6  11.3 999.0 99.0 99.00
2007 01 09 19 00  50  6.2 99.0 99.00 99.00 99.00 999 1019.8  11.6  11.3 999.0 99.0 99.00
2007 01 09 20 00  30  3.6 99.0 99.00 99.00 99.00 999 1019.5  11.7  11.4 999.0 99.0 99.00
2007 01 09 21 00  20  3.6 99.0 99.00 99.00 99.00 999 1018.4  12.3  11.4 999.0 99.0 99.00
2007 01 09 22 00 330  2.1 99.0 99.00 99.00 99.00 999 1017.9  11.5  11.5 999.0 99.0 99.00
2007 01 09 23 00 310  3.1 99.0 99.00 99.00 99.00 999 1017.6  11.3  11.6 999.0 99.0 99.00
2007 01 10 00 00 300  3.1 99.0 99.00 99.00 99.00 999 1017.4  11.4  11.6 999.0 99.0 99.00
2007 01 10 01 00 300  2.6 99.0 99.00 99.00 99.00 999 1017.2  11.4  11.6 999.0 99.0 99.00
2007 01 10 02 00 280  3.1 99.0 99.00 99.00 99.00 999 1017.1  11.1  11.5 999.0 99.0 99.00
2007 01 10 03 00 300  3.1 99.0 99.00 99.00 99.00 999 1017.1  10.7  11.5 999.0 99.0 99.00
2007 01 10 04 00 300  2.1 99.0 99.00 99.00 99.00 999 1017.4  10.4  11.4 999.0 99.0 99.00
2007 01 10 05 00 340  2.1 99.0 99.00 99.00 99.00 999 1017.6  10.3  11.4 999.0 99.0 99.00
2007 01 10 06 00 300  2.6 99.0 99.00 99.00 99.00 999 1018.1  10.5  11.3 999.0 99.0 99.00
2007 01 10 07 00 320  1.0 99.0 99.00 99.00 99.00 999 1017.7  10.1  11.3 999.0 99.0 99.00
2007 01 10 08 00 360  2.1 99.0 99.00 99.00 99.00 999 1017.7  10.1  11.4 999.0 99.0 99.00
2007 01 10 09 00  50  1.5 99.0 99.00 99.00 99.00 999 1017.3  10.3  11.3 999.0 99.0 99.00
2007 01 10 10 00 360  2.6 99.0 99.00 99.00 99.00 999 1017.6  10.1  11.4 999.0 99.0 99.00
2007 01 10 11 00 320  2.6 99.0 99.00 99.00 99.00 999 1017.2   9.9  11.4 999.0 99.0 99.00
2007 01 10 12 00 320  3.6 99.0 99.00 99.00 99.00 999 1016.5   8.9  11.4 999.0 99.0 99.00
2007 01 10 13 00 320  2.1 99.0 99.00 99.00 99.00 999 1016.2   9.2  11.4 999.0 99.0 99.00
2007 01 10 14 00  40  1.0 99.0 99.00 99.00 99.00 999 1016.4   9.0  11.4 999.0 99.0 99.00
2007 01 10 15 00  30  2.1 99.0 99.00 99.00 99.00 999 1016.7   8.4  11.3 999.0 99.0 99.00
2007 01 10 16 00 280  2.1 99.0 99.00 99.00 99.00 999 1016.5   8.7  11.3 999.0 99.0 99.00
2007 01 10 17 00 300  3.1 99.0 99.00 99.00 99.00 999 1017.2   8.6  11.3 999.0 99.0 99.00
2007 01 10 18 00 300  3.1 99.0 99.00 99.00 99.00 999 1017.7   9.3  11.3 999.0 99.0 99.00
2007 01 10 19 00 330  4.1 99.0 99.00 99.00 99.00 999 1017.5   9.4  11.4 999.0 99.0 99.00
2007 01 10 20 00 310  9.3 99.0 99.00 99.00 99.00 999 1016.4  10.1  11.3 999.0 99.0 99.00
2007 01 10 21 00 300 11.8 99.0 99.00 99.00 99.00 999 1015.2   9.8  11.4 999.0 99.0 99.00
2007 01 10 22 00 300 11.8 99.0 99.00 99.00 99.00 999 1014.6   9.3  11.3 999.0 99.0 99.00
2007 01 10 23 00 290 13.4 99.0 99.00 99.00 99.00 999 1015.0   9.1  11.3 999.0 99.0 99.00
2007 01 11 00 00 300 10.8 99.0 99.00 99.00 99.00 999 1015.3   9.1  11.2 999.0 99.0 99.00
2007 01 11 01 00 310 12.4 99.0 99.00 99.00 99.00 999 1015.7   8.7  11.2 999.0 99.0 99.00
2007 01 11 02 00 300 11.8 99.0 99.00 99.00 99.00 999 1015.6   8.4  11.3 999.0 99.0 99.00
2007 01 11 03 00 290 11.3 99.0 99.00 99.00 99.00 999 1015.7   8.2  11.3 999.0 99.0 99.00
2007 01 11 04 00 300  9.8 99.0 99.00 99.00 99.00 999 1015.8   8.5  11.2 999.0 99.0 99.00
2007 01 11 05 00 310  9.3 99.0 99.00 99.00 99.00 999 1016.1   8.4  11.2 999.0 99.0 99.00
2007 01 11 06 00 320  9.3 99.0 99.00 99.00 99.00 999 1016.3   8.4  11.3 999.0 99.0 99.00
2007 01 11 07 00 330  8.8 99.0 99.00 99.00 99.00 999 1016.7   8.2  11.3 999.0 99.0 99.00
2007 01 11 08 00 320  8.2 99.0 99.00 99.00 99.00 999 1016.8   8.1  11.3 999.0 99.0 99.00
2007 01 11 09 00 320 10.3 99.0 99.00 99.00 99.00 999 1016.4   7.9  11.2 999.0 99.0 99.00
2007 01 11 10 00 320  9.8 99.0 99.00 99.00 99.00 999 1016.6   8.0  11.2 999.0 99.0 99.00
