#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 09 02 50 317  4.9  6.2  2.90 13.79 11.53 270 1021.3 999.0  13.0 999.0 99.0 99.00
2010 01 09 03 50 310  3.5  4.3  2.76 16.00 11.43 275 1021.3 999.0  12.9 999.0 99.0 99.00
2010 01 09 04 50 340  1.9  2.8  2.91 16.00 11.12 277 1020.7 999.0  12.9 999.0 99.0 99.00
2010 01 09 05 50 309  1.9  2.7  2.73 14.81 10.85 278 1021.5 999.0  12.9 999.0 99.0 99.00
2010 01 09 06 50   3  2.4  3.0  2.72 14.81 10.57 272 1021.5 999.0  13.0 999.0 99.0 99.00
2010 01 09 07 50  79  4.9  6.9  3.04 14.81 11.36 280 1020.5 999.0  13.0 999.0 99.0 99.00
2010 01 09 08 50 119  3.8  5.1  2.93 13.79 11.23 280 1020.3 999.0  13.0 999.0 99.0 99.00
2010 01 09 09 50  86  1.4  3.1  2.86 13.79 10.70 272 1020.9 999.0  13.1 999.0 99.0 99.00
2010 01 09 10 50  63  4.1  5.8  3.17 14.81 10.72 268 1020.5 999.0  13.2 999.0 99.0 99.00
2010 01 09 11 50 110  5.3  7.2  2.91 13.79 10.51 274 1020.0 999.0  13.2 999.0 99.0 99.00
2010 01 09 12 50  71  1.7  3.6  2.85 14.81 10.48 268 1020.2 999.0  13.3 999.0 99.0 99.00
2010 01 09 13 50  37  0.9  2.1  2.88 14.81 10.64 276 1020.6 999.0  13.3 999.0 99.0 99.00
2010 01 09 14 50  49  3.3  4.2  2.84 14.81 10.81 278 1020.7 999.0  13.3 999.0 99.0 99.00
2010 01 09 15 50  77  3.8  5.1  2.77 13.79 10.73 278 1021.1 999.0  13.2 999.0 99.0 99.00
2010 01 09 16 50 152  0.4  1.2  2.75 14.81 10.50 274 1022.3 999.0  13.2 999.0 99.0 99.00
2010 01 09 17 50  95  1.0  2.3  2.67 16.00 10.46 270 1022.5 999.0  13.3 999.0 99.0 99.00
2010 01 09 18 50  86  4.5  6.3  2.65 14.81 10.04 277 1022.5 999.0  13.4 999.0 99.0 99.00
2010 01 09 19 50 246  2.5  4.5  2.60 12.12  9.70 270 1022.7 999.0  13.4 999.0 99.0 99.00
2010 01 09 20 50  22  4.7  6.2  2.56 16.00  9.78 274 1020.0 999.0  13.4 999.0 99.0 99.00
2010 01 09 21 50  28  3.4  4.6  2.70 14.81 10.16 273 1020.4 999.0  13.4 999.0 99.0 99.00
2010 01 09 22 50  32  3.8  4.6  2.66 13.79 10.19 281 1020.2 999.0  13.4 999.0 99.0 99.00
2010 01 09 23 50 329  2.5  3.2  2.86 14.81 11.04 276 1020.2 999.0  13.5 999.0 99.0 99.00
2010 01 10 00 50 315  3.5  4.6  2.40 12.12 10.01 276 1020.7 999.0  13.5 999.0 99.0 99.00
2010 01 10 01 50 311  3.1  4.0  2.57 13.79 10.79 272 1021.1 999.0  13.4 999.0 99.0 99.00
2010 01 10 02 50 319  3.0  4.1  2.71 14.81 10.93 273 1021.4 999.0  13.4 999.0 99.0 99.00
2010 01 10 03 50 314  3.5  4.4  2.87 14.81 11.50 266 1021.5 999.0  13.4 999.0 99.0 99.00
2010 01 10 04 50 320  4.1  4.9  2.71 14.81 11.16 268 1021.5 999.0  13.3 999.0 99.0 99.00
2010 01 10 05 50 314  3.1  3.9  2.84 14.81 10.91 269 1021.8 999.0  13.3 999.0 99.0 99.00
2010 01 10 06 50 316  3.7  4.5  2.66 13.79 11.30 276 1021.9 999.0  13.3 999.0 99.0 99.00
2010 01 10 07 50 349  3.3  4.0  2.85 17.39 11.02 271 1021.8 999.0  13.3 999.0 99.0 99.00
